, Sales Org , European Customer , Sold to Customer , Ship To Country , Type , confi , size , Die Reference , Board Type , Board Item , WRK Filter , Grade , Certification , x , new Cal + width,Category,old Cal + width,Unchanged?,GSM,Caliper,new std width mm,std width mm,std width, Std Width Round (in) , optimum width , optimum width (in) , optimum std? ,repeat,NB ON, x ,producer 2019,Forecast Quantity board MT - OCT 2018,Forecast Quantity board MT - NOV 2018,Forecast Quantity board MT - DEC 2018,Forecast Quantity board MT - JAN 2019,Forecast Quantity board MT - FEB 2019,Forecast Quantity board MT - MAR 2019,Forecast Quantity board MT - APR 2019,Forecast Quantity board MT - MAY 2019,Forecast Quantity board MT - JUN 2019,Forecast Quantity board MT - JUL 2019,Forecast Quantity board MT - AUG 2019,Forecast Quantity board MT - SEP 2019,Forecast Quantity board MT - Q1 2019,Forecast Quantity board MT - Q2 2019,Forecast Quantity board MT - Q3 2019,Forecast Quantity board MT - Q4 2019,Forecast Quantity board MT - FY 2019,Average,Standarddeviation
17, MeadWestvaco Enterprises GmbH , BISCHOFSHOF ," BISCHOFSHOF BRAUEREI, REGENSBURG ", Germany , CP ,  2x3 , 330   , 1557/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,4000967,Std Sku,4000940,No,400,21,967,940,94.0,37.01,94.0,37.01,Y,140.5,10,,Svitavy,0.738586,0.781778,0.712671,0.781778,0.740746,0.961026,0.902716,0.919993,0.844407,0.782858,0.763422,0.762342,2.233035,2.483550,2.667117,2.308622,9.692324,0.807694,0.080206
163, WestRock Pkg Sys France Sarl , BIERES ARTZNER , BIERES ARTZNER , France , CC ,  1x3 , 330   , W179A2CA/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,3801178,Std Sku,3801178,Yes,380,20,1178,1178,117.8,46.38,56.0,22.05,N,93.4,12,,Trier,0.083750,0.088877,0.081186,0.088877,0.083750,0.109387,0.102551,0.104260,0.095714,0.088877,0.086313,0.086313,0.253813,0.282014,0.302524,0.261504,1.099854,0.091655,0.009162
173, WestRock Pkg Sys France Sarl , Brasserie Meteor-EUR , BRASSERIE METEOR , France , DD , 3x4 , 250   , X059A32A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,4001565,Exception,4001548,No,400,21,1565,1548,154.8,60.94,154.8,60.94,Y,74.8,4,,Trier,0.096564,0.102244,0.093724,0.102244,0.097510,0.125911,0.118338,0.120231,0.110764,0.103191,0.100350,0.100350,0.292531,0.325666,0.349333,0.303891,1.271421,0.105952,0.010382
185, WestRock Pkg Sys France Sarl , Carlsberg Europe , CARLSBERG SUPPLY COMPANY AG , France , BW ,  2x3 , 330   , X170A5CA_PEFC/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,3801594,Std Sku,3801559,No,380,20,1594,1559,155.9,61.38,155.9,61.38,Y,112.0,8,,Trier,0.691670,0.732356,0.667258,0.732356,0.693026,0.900527,0.846278,0.861197,0.790673,0.733712,0.714725,0.714725,2.091284,2.325909,2.498149,2.163163,9.078505,0.756542,0.075260
272, WestRock Pkg Sys France Sarl , Sodiaal EUR , YOPLAIT FRANCE SAS BOULOGNE , France , MU , 2x3 , 100   , X212A1UA/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3200917,Std Sku,3200916,No,320,16,917,916,91.6,36.06,90.2,35.51,N,114.4,21,,Trier,0.764921,0.809473,0.737504,0.809473,0.766977,0.995220,0.935589,0.952724,0.874587,0.811529,0.790967,0.790281,2.311898,2.571670,2.762900,2.392777,10.039245,0.836604,0.083132
327," WestRockPackaging Syst.ES,S.L. ", AVELEDA SA , AVELEDA SA , Portugal , CP ,  2x2 , 187   , U013BUA/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3200964,Std Sku,3200956,No,320,16,964,956,95.6,37.64,95.6,37.64,Y,132.6,27,,Bilbao,0.051407,0.053895,0.049749,0.053895,0.051407,0.066332,0.062186,0.063844,0.058040,0.053895,0.053065,0.053065,0.155051,0.171634,0.184071,0.160026,0.670781,0.055898,0.005414
330," WestRockPackaging Syst.ES,S.L. ", CCE Europe , RENDELSUR , Spain , CP ,  2x3 , 200   , W117UA/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3201010,Std Sku,3201010,Yes,320,16,1010,1010,101.0,39.76,101.0,39.76,Y,110.0,12,,Bilbao,13.352798,14.128895,12.876821,14.132529,13.387679,17.375714,16.328564,16.629411,15.269787,14.165229,13.809881,13.790988,40.358514,44.895922,48.227763,41.766099,175.248297,14.604025,1.451091
339," WestRockPackaging Syst.ES,S.L. ", DAMM Europe , S.A. DAMM , Spain , BW ,  2x3 , 330   , X027ABA/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3500988,Std Sku,3500945,No,350,18,988,945,94.5,37.20,92.4,36.38,N,127.9,9,,Bilbao,0.113272,0.119325,0.108949,0.119325,0.113272,0.146994,0.138347,0.140942,0.128836,0.120189,0.116731,0.116731,0.341545,0.379591,0.408125,0.353651,1.482912,0.123576,0.012297
352," WestRockPackaging Syst.ES,S.L. ", DAMM Europe , S.A. DAMM , Spain , FM ,  2x5 , 330   , K059BBA/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3500988,Std Sku,3500988,Yes,350,18,988,988,98.8,38.90,94.8,37.32,N,104.2,4,,Bilbao,2.998297,3.172848,2.891505,3.173585,3.006399,3.901248,3.666304,3.734062,3.428414,3.180950,3.100671,3.096989,9.062650,10.081232,10.828781,9.378609,39.351272,3.279273,0.325686
364," WestRockPackaging Syst.ES,S.L. ", DANONE  Europe , DANONE  Europe , Spain , CP ,,, U147DGA-Q/R , 010 Custom Kote SFI , 010 , MCB , Custom , SFI ,,2901230,Normal,2901230,Yes,290,14,1230,1230,123.0,48.43,123.0,48.43,Y,80.1,28,,Bilbao,2.688175,2.844104,2.592398,2.844688,2.695183,3.497606,3.286780,3.347516,3.073618,2.851696,2.779863,2.776359,8.124677,9.037476,9.707914,8.407919,35.277986,2.939832,0.291981
