,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,796 MT","7,191 MT","6,554 MT","7,193 MT","6,814 MT","8,844 MT","8,311 MT","8,464 MT","7,772 MT","7,210 MT","7,029 MT","7,020 MT","20,542 MT","22,852 MT","24,547 MT","21,259 MT","89,200 MT",,
,,,,,,,,,, <<<---Added--->>> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Sales Org , European Customer , Sold to Customer , Ship To Country , Type , confi , size , Die Reference , Board Type , Board Item , WRK Filter , Grade , Certification , x , new Cal + width,Category,old Cal + width,Unchanged?,GSM,Caliper,new std width mm,std width mm,std width, Std Width Round (in) , optimum width , optimum width (in) , optimum std? ,repeat,NB ON, x ,producer 2019, Forecast Quantity board MT - OCT 2018 , Forecast Quantity board MT - NOV 2018 , Forecast Quantity board MT - DEC 2018 , Forecast Quantity board MT - JAN 2019 , Forecast Quantity board MT - FEB 2019 , Forecast Quantity board MT - MAR 2019 , Forecast Quantity board MT - APR 2019 , Forecast Quantity board MT - MAY 2019 , Forecast Quantity board MT - JUN 2019 , Forecast Quantity board MT - JUL 2019 , Forecast Quantity board MT - AUG 2019 , Forecast Quantity board MT - SEP 2019 , Forecast Quantity board MT - Q1 2019 , Forecast Quantity board MT - Q2 2019 , Forecast Quantity board MT - Q3 2019 , Forecast Quantity board MT - Q4 2019 , Forecast Quantity board MT - FY 2019 , Average ,Standarddeviation
17, MeadWestvaco Enterprises GmbH , BISCHOFSHOF ," BISCHOFSHOF BRAUEREI, REGENSBURG ", Germany , CP ,  2x3 ,330, 1557/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,4000967,Std Sku,4000940,No,400,21,967,940,94,37.01,94,37.01,Y,140.5,10,,Svitavy,0.7 MT,0.8 MT,0.7 MT,0.8 MT,0.7 MT,1.0 MT,0.9 MT,0.9 MT,0.8 MT,0.8 MT,0.8 MT,0.8 MT,2.2 MT,2.5 MT,2.7 MT,2.3 MT,9.7 MT,0.8 MT,0.1 MT
163, WestRock Pkg Sys France Sarl , BIERES ARTZNER , BIERES ARTZNER , France , CC ,  1x3 ,330, W179A2CA/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,3801178,Std Sku,3801178,Yes,380,20,1178,1178,117.8,46.38,56,22.05,N,93.4,12,,Trier,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.3 MT,0.3 MT,0.3 MT,0.3 MT,1.1 MT,0.1 MT,0.0 MT
173, WestRock Pkg Sys France Sarl , Brasserie Meteor-EUR , BRASSERIE METEOR , France , DD , 3x4 ,250, X059A32A/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,4001565,Exception,4001548,No,400,21,1565,1548,154.8,60.94,154.8,60.94,Y,74.8,4,,Trier,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.3 MT,0.3 MT,0.3 MT,0.3 MT,1.3 MT,0.1 MT,0.0 MT
185, WestRock Pkg Sys France Sarl , Carlsberg Europe , CARLSBERG SUPPLY COMPANY AG , France , BW ,  2x3 ,330, X170A5CA_PEFC/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,3801594,Std Sku,3801559,No,380,20,1594,1559,155.9,61.38,155.9,61.38,Y,112,8,,Trier,0.7 MT,0.7 MT,0.7 MT,0.7 MT,0.7 MT,0.9 MT,0.8 MT,0.9 MT,0.8 MT,0.7 MT,0.7 MT,0.7 MT,2.1 MT,2.3 MT,2.5 MT,2.2 MT,9.1 MT,0.8 MT,0.1 MT
272, WestRock Pkg Sys France Sarl , Sodiaal EUR , YOPLAIT FRANCE SAS BOULOGNE , France , MU , 2x3 ,100, X212A1UA/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,3200917,Std Sku,3200916,No,320,16,917,916,91.6,36.06,90.2,35.51,N,114.4,21,,Trier,0.8 MT,0.8 MT,0.7 MT,0.8 MT,0.8 MT,1.0 MT,0.9 MT,1.0 MT,0.9 MT,0.8 MT,0.8 MT,0.8 MT,2.3 MT,2.6 MT,2.8 MT,2.4 MT,10.0 MT,0.8 MT,0.1 MT
327," WestRockPackaging Syst.ES,S.L. ", AVELEDA SA , AVELEDA SA , Portugal , CP ,  2x2 ,187, U013BUA/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,3200964,Std Sku,3200956,No,320,16,964,956,95.6,37.64,95.6,37.64,Y,132.6,27,,Bilbao,0.1 MT,0.1 MT,0.0 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.2 MT,0.2 MT,0.2 MT,0.2 MT,0.7 MT,0.1 MT,0.0 MT
330," WestRockPackaging Syst.ES,S.L. ", CCE Europe , RENDELSUR , Spain , CP ,  2x3 ,200, W117UA/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,3201010,Std Sku,3201010,Yes,320,16,1010,1010,101,39.76,101,39.76,Y,110,12,,Bilbao,13.4 MT,14.1 MT,12.9 MT,14.1 MT,13.4 MT,17.4 MT,16.3 MT,16.6 MT,15.3 MT,14.2 MT,13.8 MT,13.8 MT,40.4 MT,44.9 MT,48.2 MT,41.8 MT,175.2 MT,14.6 MT,1.5 MT
339," WestRockPackaging Syst.ES,S.L. ", DAMM Europe , S.A. DAMM , Spain , BW ,  2x3 ,330, X027ABA/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,3500988,Std Sku,3500945,No,350,18,988,945,94.5,37.2,92.4,36.38,N,127.9,9,,Bilbao,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.1 MT,0.3 MT,0.4 MT,0.4 MT,0.4 MT,1.5 MT,0.1 MT,0.0 MT
